,id_curriculo_componente,id_curriculo,id_componente_curricular,semestre_oferta,tipo_vinculo_componente,nivel_ensino
19312,133799100,133797961,69603,0,OPTATIVO,GRADUAÇÃO
19338,133795105,133795010,61098,0,OPTATIVO,GRADUAÇÃO
19427,134044497,134044403,59739,0,OPTATIVO,GRADUAÇÃO
19637,133798091,133797961,55044,0,OPTATIVO,GRADUAÇÃO
19788,133804539,133804382,55057,0,OPTATIVO,GRADUAÇÃO
19843,134044582,134044403,55024,3,OBRIGATÓRIO,GRADUAÇÃO
19899,133804508,133804382,52682,0,OPTATIVO,GRADUAÇÃO
19936,133798170,133797961,55082,1,OBRIGATÓRIO,GRADUAÇÃO
20110,134044597,134044403,52693,0,OPTATIVO,GRADUAÇÃO
20166,134044488,134044403,57806,0,OPTATIVO,GRADUAÇÃO
20308,133795212,133795010,61132,0,OPTATIVO,GRADUAÇÃO
20344,133795027,133795010,26920,0,OPTATIVO,GRADUAÇÃO
20454,139932266,133804382,69618,0,OPTATIVO,GRADUAÇÃO
20653,133795047,133795010,2054921,0,OPTATIVO,GRADUAÇÃO
20665,134044629,134044403,65103,0,OPTATIVO,GRADUAÇÃO
20726,133804493,133804382,55037,0,OPTATIVO,GRADUAÇÃO
20943,133795072,133795010,55369,0,OPTATIVO,GRADUAÇÃO
21043,136619679,133797961,70883,0,OPTATIVO,GRADUAÇÃO
21087,133804546,133804382,68482,0,OPTATIVO,GRADUAÇÃO
21162,151042961,133804382,72708,0,OPTATIVO,GRADUAÇÃO
21243,133795133,133795010,55040,0,OPTATIVO,GRADUAÇÃO
21272,133798902,133795010,69588,0,OPTATIVO,GRADUAÇÃO
21308,134044502,134044403,61103,0,OPTATIVO,GRADUAÇÃO
21394,133804491,133804382,55040,0,OPTATIVO,GRADUAÇÃO
21403,133804415,133804382,2054921,0,OPTATIVO,GRADUAÇÃO
21463,133804417,133804382,2054925,0,OPTATIVO,GRADUAÇÃO
21514,133798062,133797961,61084,0,OPTATIVO,GRADUAÇÃO
21526,134044501,134044403,61102,0,OPTATIVO,GRADUAÇÃO
21565,133795140,133795010,55095,0,OPTATIVO,GRADUAÇÃO
21642,133795014,133795010,59634,0,OPTATIVO,GRADUAÇÃO
21657,134044449,134044403,2040701,0,OPTATIVO,GRADUAÇÃO
21715,133798024,133797961,55369,0,OPTATIVO,GRADUAÇÃO
21729,133798020,133797961,52973,0,OPTATIVO,GRADUAÇÃO
21832,133798092,133797961,55095,0,OPTATIVO,GRADUAÇÃO
21937,133804458,133804382,61107,0,OPTATIVO,GRADUAÇÃO
21939,133804391,133804382,62382,0,OPTATIVO,GRADUAÇÃO
22028,133795094,133795010,68476,0,OPTATIVO,GRADUAÇÃO
22056,134044570,134044403,55056,0,OPTATIVO,GRADUAÇÃO
22079,133799121,133797961,69624,0,OPTATIVO,GRADUAÇÃO
22378,133795134,133795010,55038,0,OPTATIVO,GRADUAÇÃO
22557,133804527,133804382,52692,0,OPTATIVO,GRADUAÇÃO
22741,134044561,134044403,52684,0,OPTATIVO,GRADUAÇÃO
22744,133804515,133804382,52793,0,OPTATIVO,GRADUAÇÃO
22747,133797974,133797961,26916,0,OPTATIVO,GRADUAÇÃO
22803,134044536,134044403,52672,0,OPTATIVO,GRADUAÇÃO
22845,139927901,134044403,69605,0,OPTATIVO,GRADUAÇÃO
22859,133797982,133797961,26924,0,OPTATIVO,GRADUAÇÃO
22940,134044615,134044403,62887,0,OPTATIVO,GRADUAÇÃO
23055,133795051,133795010,2054928,0,OPTATIVO,GRADUAÇÃO
23118,134044504,134044403,61105,0,OPTATIVO,GRADUAÇÃO
23314,133799089,133797961,69598,0,OPTATIVO,GRADUAÇÃO
23401,134044451,134044403,2040703,0,OPTATIVO,GRADUAÇÃO
23410,139889703,133795010,72272,0,OPTATIVO,GRADUAÇÃO
23616,133798084,133797961,55036,0,OPTATIVO,GRADUAÇÃO
23695,133798932,133795010,69618,0,OPTATIVO,GRADUAÇÃO
23865,133795083,133795010,57807,0,OPTATIVO,GRADUAÇÃO
24325,133804600,133804382,52973,6,OBRIGATÓRIO,GRADUAÇÃO
24367,134044503,134044403,61104,0,OPTATIVO,GRADUAÇÃO
24412,133798060,133797961,61101,0,OPTATIVO,GRADUAÇÃO
24445,139862066,134044403,72204,0,OPTATIVO,GRADUAÇÃO
24682,134044545,134044403,55044,0,OPTATIVO,GRADUAÇÃO
24683,133798924,133795010,69610,0,OPTATIVO,GRADUAÇÃO
24708,133804481,133804382,61116,0,OPTATIVO,GRADUAÇÃO
24731,133804576,133804382,66438,1,OBRIGATÓRIO,GRADUAÇÃO
24835,133798127,133797961,52794,0,OPTATIVO,GRADUAÇÃO
24845,133795148,133795010,55049,0,OPTATIVO,GRADUAÇÃO
24869,133795231,133795010,55023,3,OBRIGATÓRIO,GRADUAÇÃO
24894,134044474,134044403,2054956,0,OPTATIVO,GRADUAÇÃO
24948,133804555,133804382,62888,0,OPTATIVO,GRADUAÇÃO
25022,133804585,133804382,52664,3,OBRIGATÓRIO,GRADUAÇÃO
25189,134044422,134044403,26920,0,OPTATIVO,GRADUAÇÃO
25199,134044426,134044403,26924,0,OPTATIVO,GRADUAÇÃO
25250,133804474,133804382,61109,0,OPTATIVO,GRADUAÇÃO
25287,133795203,133795010,63932,0,OPTATIVO,GRADUAÇÃO
25515,134044549,134044403,55045,0,OPTATIVO,GRADUAÇÃO
25530,133795168,133795010,55054,0,OPTATIVO,GRADUAÇÃO
25659,133797989,133797961,21783,0,OPTATIVO,GRADUAÇÃO
25665,133795166,133795010,55052,0,OPTATIVO,GRADUAÇÃO
25666,151047042,133804382,69611,0,OPTATIVO,GRADUAÇÃO
25719,133795233,133795010,55025,3,OBRIGATÓRIO,GRADUAÇÃO
25725,133798083,133797961,52673,0,OPTATIVO,GRADUAÇÃO
25807,137397632,133804382,69601,0,OPTATIVO,GRADUAÇÃO
25867,133804825,133804382,42067,0,OPTATIVO,GRADUAÇÃO
26044,133804486,133804382,61121,0,OPTATIVO,GRADUAÇÃO
