id_componente,codigo,nome,ch_teorico,ch_pratico,ch_total,equivalencia,pre_requisito,co_requisito
55058,IMD0520,DESIGN INSTRUCIONAL PARA TI,60,0,60,,( IMD0518 ) ,
55059,IMD0521,FUNDAMENTOS DE JOGOS DIGITAIS,60,0,60,,,
55060,IMD0522,JOGOS DIGITAIS COMO FERRAMENTA PEDAGÓGICA,60,0,60,,,
55061,IMD0602,FERRAMENTAS PARA ANÁLISE DE SEQUÊNCIAS,30,30,60,,ICE1024 ,
55062,IMD0603,TECNOLOGIAS EM LARGA ESCALA I,0,60,60,,ICE1024 ,
55074,IMD0422,SISTEMAS DE INTELIGÊNCIA EMPRESARIAL,45,15,60,,( IMD0405 ) ,
55082,IMD0020,TECNOLOGIA DA INFORMAÇÃO E SOCIEDADE,30,0,30,( IMD0015 ) OU ( ECT2106 ) ,,
55083,IMD0423,DESIGN DE SOFTWARE I,90,0,90,( IMD0503 E IMD0505 ) OU ( IMD0402 ) ,,
55084,IMD0523,TECNOLOGIAS EDUCACIONAIS,60,0,60,( IMD0507 ) ,,
55085,IMD0524,EDUCAÇÃO A DISTÂNCIA,60,0,60,( IMD0508 ) ,,
55094,IMD0324,PROJETO INTEGRADO I,30,0,60,,,
55095,IMD0327,PROJETO INTEGRADO II,30,0,60,,( IMD0324 ) ,
55096,IMD0329,PROJETO INTEGRADO III,60,0,90,,( IMD0327 ) ,( IMD0308 E IMD0328 ) 
55325,MAT0309,ALGEBRA LINEAR PARA COMPUTAÇÃO,60,0,60,,( IMD0034 ) ,
55369,DIM0612,PROGRAMAÇÃO CONCORRENTE,60,0,60,( DIM0542 ) OU ( DIM0124 ) ,( IMD0042 E IMD0040 ) OU ( ( DIM0500 OU ( DIM0431 E DIM0432 E DIM0438 ) ) E DIM0108 ) ,
55370,DIM0613,INTELIGENCIA ARTIFICIAL,60,0,60,,( DIM0601 E EST0323 ) ,
55371,DIM0614,PROGRAMAÇÃO DISTRIBUÍDA,60,0,60,( DIM0444 ) OU ( DIM0502 ) ,( IMD0040 OU DIM0116 ) E ( IMD0043 OU DIM0438 ) ,
55372,DIM0616,SISTEMAS EMBARCADOS,60,0,60,( DIM0407 ) ,( DIM0615 ) ,
55939,DBG0047,GENETICA,45,15,60,,,
55940,DBG0048,EVOLUÇÃO,45,15,60,,,
56269,IMD0044,PRÁTICAS DE LEITURA E ESCRITA EM INGLÊS,45,15,60,,IMD0018 ,
57806,IMD0100,TÓPICOS ESPECIAIS EM TECNOLOGIA DA INFORMAÇÃO I,90,0,90,,,
57807,IMD0101,TÓPICOS ESPECIAIS EM TECNOLOGIA DA INFORMAÇÃO II,60,0,60,,,
59413,DBQ0044,INTRODUÇÃO À BIOLOGIA DE SISTEMAS,30,30,60,,,
59634,DAN0024,"DIREITOS HUMANOS, DIVERSIDADE CULTURAL E RELAÇÕES ÉTNICO-RACIAIS",60,0,60,,,
59732,IMD0102,TÓPICOS ESPECIAIS EM TECNOLOGIA DA INFORMAÇÃO III,60,0,60,,,
59733,IMD0103,TÓPICOS ESPECIAIS EM TECNOLOGIA DA INFORMAÇÃO IV,60,0,60,,,
59734,IMD0104,TÓPICOS ESPECIAIS EM TECNOLOGIA DA INFORMAÇÃO V,60,0,60,,,
59735,IMD0105,TÓPICOS ESPECIAIS EM TECNOLOGIA DA INFORMAÇÃO VI,60,0,60,,,
59736,IMD0106,TÓPICOS ESPECIAIS EM TECNOLOGIA DA INFORMAÇÃO VII,60,0,60,,,
59737,IMD0107,TÓPICOS ESPECIAIS EM TECNOLOGIA DA INFORMAÇÃO VIII,60,0,60,,,
59738,IMD0108,TÓPICOS ESPECIAIS EM TECNOLOGIA DA INFORMAÇÃO IX,30,0,30,,,
59739,IMD0109,TÓPICOS ESPECIAIS EM TECNOLOGIA DA INFORMAÇÃO X,30,0,30,,,
61083,IMD0250,"TÓPICOS ESPECIAIS EM INFORMÁTICA EDUCACIONAL ""A""",60,0,60,,,
61084,IMD0251,"TÓPICOS ESPECIAIS EM INFORMÁTICA EDUCACIONAL ""B""",60,0,60,,,
61085,IMD0252,"TÓPICOS ESPECIAIS EM INFORMÁTICA EDUCACIONAL ""C""",60,0,60,,,
61086,IMD0253,"TÓPICOS ESPECIAIS EM INFORMÁTICA EDUCACIONAL ""D""",60,0,60,,,
61087,IMD0254,"TÓPICOS ESPECIAIS EM INFORMÁTICA EDUCACIONAL ""E""",60,0,60,,,
61093,IMD0255,"TÓPICOS ESPECIAIS EM INFORMÁTICA EDUCACIONAL ""F""",60,0,60,,,
61094,IMD0256,"TÓPICOS ESPECIAIS EM INFORMÁTICA EDUCACIONAL ""G""",60,0,60,,,
61095,IMD0240,"TÓPICOS ESPECIAIS EM SISTEMAS DE INFORMAÇÃO DE GESTÃO ""A""",60,0,60,,,
61096,IMD0241,"TÓPICOS ESPECIAIS EM SISTEMAS DE INFORMAÇÃO DE GESTÃO ""B""",60,0,60,,,
61097,IMD0242,"TÓPICOS ESPECIAIS EM SISTEMAS DE INFORMAÇÃO DE GESTÃO ""C""",60,0,60,,,
61098,IMD0243,"TÓPICOS ESPECIAIS EM SISTEMAS DE INFORMAÇÃO DE GESTÃO ""D""",60,0,60,,,
61099,IMD0244,"TÓPICOS ESPECIAIS EM SISTEMAS DE INFORMAÇÃO DE GESTÃO ""E""",60,0,60,,,
